"created_on","provincia","partido","rooms","surface_total","surface_covered","price","currency","title","property_type","operation_type","lat","long"
"202005","CABA","Comuna 3",7,503,192,350001,"USD","Depto.tipo casa de 7 ambientes en Venta en Congreso","PH","Venta",-58.3955306,-34.6109696
"202005","GBA","Morón",2,60,45,14000,"ARS","Departamento en Centro de Moron","Departamento","Alquiler",-58.6212158,-34.6528832
"202005","CABA","Comuna 1",1,30,30,15000,"ARS","ALVEAR MARCELO TORCUATO DE 600","Departamento","Alquiler",-58.37476891,-34.59606641
"202005","CABA","Comuna 2",2,40,40,22000,"ARS","Departamento de 2 ambientes en Alquiler en Palermo","Departamento","Alquiler",-58.4156239,-34.5976719
"202005","CABA","Comuna 13",2,46,38,24000,"ARS","Departamento - Belgrano","Departamento","Alquiler",-58.4468228,-34.5596996
"202005","CABA","Comuna 2",2,41,41,17000,"ARS","Departamento - Barrio Norte","Departamento","Alquiler",-58.4045308,-34.5921625
"202005","CABA","Comuna 1",2,133,133,99000,"ARS","MACACHA GUEMES 300","Departamento","Alquiler",-58.363658,-34.6047936
"202005","GBA","Escobar",5,200,200,23000,"ARS","Casa - Maschwitz Club","Casa","Alquiler",-58.7560113,-34.3774649
"202005","GBA","Tigre",3,75,75,34000,"ARS","Alquiler2 dorm.  PB con jardín y cochera y piscina en  Portezuelo Nordelta. Tigre","Departamento","Alquiler",-58.6544622,-34.4026444
"202005","GBA","Tigre",3,75,75,34000,"ARS","Alquiler 3 amb. PB con jardín y cochera Portezuelo Nordelta. Tigre","Departamento","Alquiler",-58.6544622,-34.4026444
"202005","CABA","Comuna 10",3,55,55,15000,"ARS","Departamento 3 ambientes en Barrio Kennedy","Departamento","Alquiler",-58.518175,-34.633665
"202005","CABA","Comuna 14",3,80,80,27000,"ARS","OPORTUNIDAD! 3 AMBIENTES 80 M2 SEMIPISO EN EL BARRIO DE PALERMO","Departamento","Alquiler",-58.4145502,-34.5842059
"202005","GBA","Quilmes",3,68,65,23000,"ARS","Departamento 3 ambientes con cochera en alquiler - Quilmes Centro","Departamento","Alquiler",-58.2581254,-34.7260847
"202005","CABA","Comuna 14",3,118,118,46000,"ARS","Excelente Piso luminoso con coch fija en zona exclusiva","Departamento","Alquiler",-58.446164,-34.5678575
"202005","CABA","Comuna 2",3,55,55,25000,"ARS","Av. Quintana y Montevideo","Departamento","Alquiler",-58.3876273,-34.590313
"202005","CABA","Comuna 1",3,145,128,190000,"ARS","Excelente 3 amb. Amoblado/con cochera","Departamento","Alquiler",-58.3646043,-34.5994676
"202005","CABA","Comuna 1",3,145,128,160000,"ARS","Amoblado - Excelente 3 amb. con cochera.","Departamento","Alquiler",-58.3645525,-34.5994853
"202005","GBA","Tigre",4,75,75,24000,"ARS","Departamento - 4 ambientes - Riverside Towers - Tigre","Departamento","Alquiler",-58.5875053,-34.4320582
"202005","CABA","Comuna 2",8,601,400,650001,"USD","Depto.tipo casa de 8 ambientes en Venta en Barrio norte","PH","Venta",-58.403327,-34.5988286
"202005","CABA","Comuna 15",2,41,41,88900,"USD","Depto.tipo casa de 2 ambientes en Venta en Chacarita","PH","Venta",-58.4477355791,-34.5955966314
"202005","CABA","Comuna 15",2,41,41,88900,"USD","Depto.tipo casa de 2 ambientes en Venta en Villa crespo","PH","Venta",-58.4477355791,-34.5955966314
"202005","CABA","Comuna 3",2,36,36,81000,"USD","2 ambientes piso alto ( Azcuenaga y Tucuman) 100% luminoso!","Departamento","Venta",-58.4008999,-34.6015875
"202005","CABA","Comuna 1",1,30,30,76000,"USD","ALVEAR MARCELO TORCUATO DE 600","Departamento","Venta",-58.37476891,-34.59606641
"202005","CABA","Comuna 5",2,43,40,90000,"USD","Departamento de 2 ambientes en Venta en Almagro","Departamento","Venta",-58.416505,-34.607177
"202005","CABA","Comuna 3",2,38,35,110000,"USD","Departamento de 2 ambientes en Venta en Almagro","Departamento","Venta",-58.4057042,-34.6006579
"202005","CABA","Comuna 3",2,41,38,95000,"USD","Departamento de 2 ambientes en Venta en Almagro","Departamento","Venta",-58.4011154821,-34.6141416926
"202005","CABA","Comuna 5",2,51,47,186170,"USD","Departamento de 2 ambientes en Venta en Almagro","Departamento","Venta",-58.4183102,-34.6033231
"202005","CABA","Comuna 5",2,51,47,188910,"USD","Departamento de 2 ambientes en Venta en Almagro","Departamento","Venta",-58.4183102,-34.6033231
"202005","CABA","Comuna 3",2,32,24,80001,"USD","Departamento de 2 ambientes en Venta en Almagro","Departamento","Venta",-58.4140877,-34.6111273
"202005","CABA","Comuna 15",2,63,47,205000,"USD","Departamento de 2 ambientes en Venta en Almagro","Departamento","Venta",-58.4312525568,-34.5991381138
"202005","CABA","Comuna 14",2,48,43,175800,"USD","Departamento de 2 ambientes en Venta en Palermo","Departamento","Venta",-58.4201224,-34.5880071
"202005","CABA","Comuna 15",2,63,47,205000,"USD","Departamento de 2 ambientes en Venta en Palermo","Departamento","Venta",-58.4312525568,-34.5991381138
"202005","CABA","Comuna 14",2,54,49,255000,"USD","Fitz Roy 1400 Palermo 2amb c/coch U$255.000 Apto Prof","Departamento","Venta",-58.4394854,-34.5868194
"202005","CABA","Comuna 14",2,42,42,67500,"USD","Mansilla 3600 Palermo 2amb U$67.500 Apto Prof","Departamento","Venta",-58.4143949,-34.5912627
"202005","CABA","Comuna 14",2,42,40,145000,"USD","Jerónimo Salguero 1800 Palermo 2amb U$145.000 Apto Prof","Departamento","Venta",-58.4158288,-34.5895185
"202005","CABA","Comuna 14",2,52,47,185000,"USD","Departamento de 2 ambientes en Venta en Palermo","Departamento","Venta",-58.4225652442,-34.5891051595
"202005","CABA","Comuna 14",2,52,47,185000,"USD","Departamento de 2 ambientes en Venta en Palermo soho","Departamento","Venta",-58.4225652442,-34.5891051595
"202005","CABA","Comuna 15",2,51,46,167500,"USD","Departamento de 2 ambientes en Venta en Palermo","Departamento","Venta",-58.4421207,-34.5934642
"202005","CABA","Comuna 2",2,52,42,95000,"USD","SAN LUIS 3200","Departamento","Venta",-58.411898,-34.5993844
"202005","CABA","Comuna 15",2,50,50,80000,"USD","Departamento de 2 ambientes en Venta en Villa crespo","Departamento","Venta",-58.4412092,-34.5967584
"202005","CABA","Comuna 15",2,72,53,118000,"USD","Departamento de 2 ambientes en Venta en Villa crespo","Departamento","Venta",-58.4420136891,-34.6026556865
"202005","CABA","Comuna 15",2,63,47,205000,"USD","Departamento de 2 ambientes en Venta en Villa crespo","Departamento","Venta",-58.4312525568,-34.5991381138
"202005","CABA","Comuna 15",2,52,46,124000,"USD","Departamento de 2 ambientes en Venta en Villa crespo","Departamento","Venta",-58.4422322,-34.5933706
"202005","CABA","Comuna 15",2,43,40,119000,"USD","Departamento de 2 ambientes en Venta en Villa crespo","Departamento","Venta",-58.4435034,-34.5995431
"202005","CABA","Comuna 15",2,46,46,179972,"USD","Departamento de 2 ambientes en Venta en Villa crespo","Departamento","Venta",-58.4408726,-34.5977603
"202005","CABA","Comuna 15",2,42,42,109000,"USD","Departamento de 2 ambientes en Venta en Villa crespo","Departamento","Venta",-58.43597,-34.60093
"202005","CABA","Comuna 15",2,37,37,141363,"USD","Departamento de 2 ambientes en Venta en Villa crespo","Departamento","Venta",-58.4408726,-34.5977603
"202005","CABA","Comuna 15",2,51,46,147000,"USD","Departamento de 2 ambientes en Venta en Villa crespo","Departamento","Venta",-58.4421207,-34.5934642
"202005","CABA","Comuna 15",2,52,46,159000,"USD","Departamento de 2 ambientes en Venta en Villa crespo","Departamento","Venta",-58.4422322,-34.5933706
"202005","CABA","Comuna 11",2,49,43,115000,"USD","DOS AMBIENTES A ESTRENAR","Departamento","Venta",-58.4741673,-34.6181408
"202005","CABA","Comuna 6",2,37,37,85001,"USD","Departamento de 2 ambientes en Venta en Parque centenario","Departamento","Venta",-58.4431133,-34.6091881
"202005","GBA","General San Martín",1,36,36,66600,"USD","Departamento Monoambiente Doble Ventanal - Depto """"E""""","Departamento","Venta",-58.56581,-34.5605065
"202005","CABA","Comuna 2",3,70,70,240000,"USD","Depto.tipo casa de 3 ambientes en Venta en Palermo","PH","Venta",-58.4131417667,-34.5960270913
"202005","CABA","Comuna 15",3,78,78,156000,"USD","Depto.tipo casa de 3 ambientes en Venta en Villa crespo","PH","Venta",-58.4459660365,-34.6031983574
"202005","GBA","Tres de Febrero",3,123,55,89900,"USD","Ph tipo Casa 3 amb con patio, terraza y quincho","PH","Venta",-58.535137,-34.6168365
"202005","GBA","Tigre",3,107,79,150000,"USD","Departamento Nordelta - Home 3 , Tres Ambientes","Departamento","Venta",-58.6490534,-34.3947674
"202005","CABA","Comuna 15",3,52,52,135000,"USD","Departamento de 3 ambientes en Venta en Almagro","Departamento","Venta",-58.4297224,-34.6003976
"202005","CABA","Comuna 3",3,71,66,116000,"USD","Departamento de 3 ambientes en Venta en Almagro","Departamento","Venta",-58.4145903,-34.6104156
"202005","CABA","Comuna 5",3,80,65,160000,"USD","Departamento de 3 ambientes en Venta en Almagro","Departamento","Venta",-58.4195317663,-34.6095151384
"202005","CABA","Comuna 14",3,72,68,380000,"USD","Gurruchaga y Charcas 3 ambientes en venta con cochera fija","Departamento","Venta",-58.4225987114,-34.585034915
"202005","CABA","Comuna 2",3,65,60,178001,"USD","Departamento de 3 ambientes en Venta en Palermo","Departamento","Venta",-58.4133636,-34.5976645
"202005","CABA","Comuna 14",3,72,68,380000,"USD","Gurruchaga y Charcas 3 ambientes en venta con cochera fija","Departamento","Venta",-58.4226681602,-34.5848432742
"202005","GBA","Quilmes",3,75,75,175000,"USD","Nuevo Quilmes, externo , APTO MASCOTA","Departamento","Venta",-58.2927438763,-34.6971822948
"202005","CABA","Comuna 3",3,39,39,54900,"USD","Oportunidad! 3 ambientes 39m2 a reciclar. Consultar posibilidad de financiación.","Departamento","Venta",-58.4063973,-34.6186031
"202005","CABA","Comuna 13",3,140,80,245000,"USD","Departamento de 3 ambientes en Venta en Colegiales","Departamento","Venta",-58.4553959,-34.5677571
"202005","GBA","San Isidro",3,106,91,410000,"USD","ARBORIS LAS LOMAS - DON BOSCO 1400","Departamento","Venta",-58.5347684,-34.4766292
"202005","CABA","Comuna 2",3,78,75,199000,"USD","Departamento de 3 ambientes en Venta en Barrio norte","Departamento","Venta",-58.4147214455,-34.5976964951
